Event,Medal,Team_Organization,Player,Country,Role
CrossFire,Bronze,Evolution Power,ZAY,China,Player
CrossFire,Bronze,Evolution Power,mino,China,Player
CrossFire,Bronze,Evolution Power,YZK,China,Player
CrossFire,Bronze,Evolution Power,yh,China,Player
CrossFire,Bronze,Evolution Power,xqq,China,Player
Counter-Strike 2,Gold,The MongolZ,Techno4K,Mongolia,Player
Counter-Strike 2,Gold,The MongolZ,910,Mongolia,Player
Counter-Strike 2,Gold,The MongolZ,mzinho,Mongolia,Player
Counter-Strike 2,Gold,The MongolZ,bLitz,Mongolia,Player
Counter-Strike 2,Gold,The MongolZ,Senzu,Mongolia,Player
Counter-Strike 2,Silver,Aurora Gaming,MAJ3R,Turkey,Player
Counter-Strike 2,Silver,Aurora Gaming,XANTARES,Turkey,Player
Counter-Strike 2,Silver,Aurora Gaming,woxic,Turkey,Player
Counter-Strike 2,Silver,Aurora Gaming,Wicadia,Turkey,Player
Counter-Strike 2,Silver,Aurora Gaming,jottAAA,Turkey,Player
Counter-Strike 2,Bronze,Team Falcons,NiKo,Bosnia,Player
Counter-Strike 2,Bronze,Team Falcons,TeSeS,Denmark,Player
Counter-Strike 2,Bronze,Team Falcons,m0NESY,Russia,Player
Counter-Strike 2,Bronze,Team Falcons,kyxsan,Bosnia,Player
Counter-Strike 2,Bronze,Team Falcons,kyousuke,Russia,Player
Dota 2,Gold,Team Spirit,Yatoro,Ukraine,Carry
Dota 2,Gold,Team Spirit,Larl,Russia,Mid
Dota 2,Gold,Team Spirit,Collapse,Russia,Offlane
Dota 2,Gold,Team Spirit,Rue,Russia,Support
Dota 2,Gold,Team Spirit,Miposhka,Russia,Support
Dota 2,Silver,Team Falcons,skiter,Slovakia,Carry
Dota 2,Silver,Team Falcons,Malr1ne,Ukraine,Mid
Dota 2,Silver,Team Falcons,ATF,Jordan,Offlane
Dota 2,Silver,Team Falcons,Cr1t-,Denmark,Support
Dota 2,Silver,Team Falcons,Sneyking,USA,Support
Dota 2,Bronze,Parivision,Satanic,Russia,Carry
Dota 2,Bronze,Parivision,No[o]ne-,Ukraine,Mid
Dota 2,Bronze,Parivision,DM,Ukraine,Offlane
Dota 2,Bronze,Parivision,9Class,Russia,Support
Dota 2,Bronze,Parivision,Dukalis,Russia,Support
EA Sports FC 25,Gold,Team Liquid,ManuBachoore,Netherlands,Player
EA Sports FC 25,Silver,Team Vitality,Brice,France,Player
EA Sports FC 25,Bronze,Team Liquid,Levi de Weerd,Netherlands,Player
Fatal Fury: City of the Wolves,Gold,DetonatioN FocusMe,GO1,Japan,Player
Fatal Fury: City of the Wolves,Silver,KuaiShou Gaming,Xiaohai,China,Player
Fatal Fury: City of the Wolves,Bronze,Natus Vincere,DarkAngel,South Korea,Player
Free Fire,Gold,EVOS Esports,Rasyah,Indonesia,Player
Free Fire,Gold,EVOS Esports,AimGOD,Indonesia,Player
Free Fire,Gold,EVOS Esports,Reyyy,Indonesia,Player
Free Fire,Gold,EVOS Esports,Koceel,Indonesia,Player
Free Fire,Silver,Rex Regum Qeon,Dutzz,Indonesia,Player
Free Fire,Silver,Rex Regum Qeon,Abay,Indonesia,Player
Free Fire,Silver,Rex Regum Qeon,18Deer,Indonesia,Player
Free Fire,Silver,Rex Regum Qeon,Maal,Indonesia,Player
Free Fire,Bronze,Team Vitality,JUMP,Thailand,Player
Free Fire,Bronze,Team Vitality,COUGAR,Thailand,Player
Free Fire,Bronze,Team Vitality,ZEN1S,Thailand,Player
Free Fire,Bronze,Team Vitality,DON,Thailand,Player
Honor of Kings,Gold,AG.AL,Ran,China,Player
Honor of Kings,Gold,AG.AL,Zoe,China,Player
Honor of Kings,Gold,AG.AL,Sheng,China,Player
Honor of Kings,Gold,AG.AL,YiNuo,China,Player
Honor of Kings,Gold,AG.AL,Shuai,China,Player
Honor of Kings,Silver,ThunderTalk Global,Qing,China,Player
Honor of Kings,Silver,ThunderTalk Global,Sunrise,China,Player
Honor of Kings,Silver,ThunderTalk Global,Crane,China,Player
Honor of Kings,Silver,ThunderTalk Global,Snowy,China,Player
Honor of Kings,Silver,ThunderTalk Global,Joy,China,Player
Honor of Kings,Bronze,Nova Esports,Xuan,China,Player
Honor of Kings,Bronze,Nova Esports,Cy,China,Player
Honor of Kings,Bronze,Nova Esports,Wendy,China,Player
Honor of Kings,Bronze,Nova Esports,Muci,China,Player
Honor of Kings,Bronze,Nova Esports,Weipit,China,Player
League of Legends,Gold,Gen.G,Kiin,South Korea,Top
League of Legends,Gold,Gen.G,Canyon,South Korea,Jungle
League of Legends,Gold,Gen.G,Chovy,South Korea,Mid
League of Legends,Gold,Gen.G,Ruler,South Korea,ADC
League of Legends,Gold,Gen.G,Duro,South Korea,Support
League of Legends,Silver,AG.AL,Flandre,China,Top
League of Legends,Silver,AG.AL,Tarzan,South Korea,Jungle
League of Legends,Silver,AG.AL,Shanks,China,Mid
League of Legends,Silver,AG.AL,Hope,China,ADC
League of Legends,Silver,AG.AL,Kael,South Korea,Support
League of Legends,Bronze,T1,Doran,South Korea,Top
League of Legends,Bronze,T1,Oner,South Korea,Jungle
League of Legends,Bronze,T1,Faker,South Korea,Mid
League of Legends,Bronze,T1,Gumayusi,South Korea,ADC
League of Legends,Bronze,T1,Keria,South Korea,Support
Mobile Legends: Bang Bang - Men,Gold,Team Liquid PH,Sanford,Philippines,Player
Mobile Legends: Bang Bang - Men,Gold,Team Liquid PH,KarlTzy,Philippines,Player
Mobile Legends: Bang Bang - Men,Gold,Team Liquid PH,Sanji,Philippines,Player
Mobile Legends: Bang Bang - Men,Gold,Team Liquid PH,Oheb,Philippines,Player
Mobile Legends: Bang Bang - Men,Gold,Team Liquid PH,Jaypee,Philippines,Player
Mobile Legends: Bang Bang - Men,Silver,SRG.OG,Kramm,Philippines,Player
Mobile Legends: Bang Bang - Men,Silver,SRG.OG,Sekys,Philippines,Player
Mobile Legends: Bang Bang - Men,Silver,SRG.OG,Stormie,Philippines,Player
Mobile Legends: Bang Bang - Men,Silver,SRG.OG,Innocent,Philippines,Player
Mobile Legends: Bang Bang - Men,Silver,SRG.OG,Yums,Philippines,Player
Mobile Legends: Bang Bang - Men,Bronze,Onic Philippines,Kirk,Philippines,Player
Mobile Legends: Bang Bang - Men,Bronze,Onic Philippines,K1NG KONG,Philippines,Player
Mobile Legends: Bang Bang - Men,Bronze,Onic Philippines,Super Frince,Philippines,Player
Mobile Legends: Bang Bang - Men,Bronze,Onic Philippines,Kelra,Philippines,Player
Mobile Legends: Bang Bang - Men,Bronze,Onic Philippines,Brusko,Philippines,Player
Mobile Legends: Bang Bang - Women,Gold,Team Vitality,Fumi,Philippines,Player
Mobile Legends: Bang Bang - Women,Gold,Team Vitality,Vival,Philippines,Player
Mobile Legends: Bang Bang - Women,Gold,Team Vitality,Cinny,Philippines,Player
Mobile Legends: Bang Bang - Women,Gold,Team Vitality,Chell,Philippines,Player
Mobile Legends: Bang Bang - Women,Gold,Team Vitality,Vivian,Philippines,Player
Mobile Legends: Bang Bang - Women,Silver,Gaimin Gladiators,Aria,Philippines,Player
Mobile Legends: Bang Bang - Women,Silver,Gaimin Gladiators,Nicholette,Philippines,Player
Mobile Legends: Bang Bang - Women,Silver,Gaimin Gladiators,Sayori,Philippines,Player
Mobile Legends: Bang Bang - Women,Silver,Gaimin Gladiators,Panda,Philippines,Player
Mobile Legends: Bang Bang - Women,Silver,Gaimin Gladiators,Ashlay,Philippines,Player
Mobile Legends: Bang Bang - Women,Bronze,Terror Queens,Hlaing,Myanmar,Player
Mobile Legends: Bang Bang - Women,Bronze,Terror Queens,Ruli,Myanmar,Player
Mobile Legends: Bang Bang - Women,Bronze,Terror Queens,LunaLynn,Myanmar,Player
Mobile Legends: Bang Bang - Women,Bronze,Terror Queens,CKOSHIII,Myanmar,Player
Mobile Legends: Bang Bang - Women,Bronze,Terror Queens,Kuu,Myanmar,Player
Overwatch 2,Gold,Team Falcons,Proper,South Korea,DPS
Overwatch 2,Gold,Team Falcons,MER1T,South Korea,DPS
Overwatch 2,Gold,Team Falcons,SOMEONE,South Korea,Tank
Overwatch 2,Gold,Team Falcons,Hanbin,South Korea,Tank
Overwatch 2,Gold,Team Falcons,ChiYo,South Korea,Support
Overwatch 2,Gold,Team Falcons,Fielder,South Korea,Support
Overwatch 2,Silver,Al Qadsiah,LBBD7,Saudi Arabia,Player
Overwatch 2,Silver,Al Qadsiah,CheckMate,Saudi Arabia,Player
Overwatch 2,Silver,Al Qadsiah,ZIYAD,Saudi Arabia,Player
Overwatch 2,Silver,Al Qadsiah,Landon,Saudi Arabia,Player
Overwatch 2,Silver,Al Qadsiah,Kellex,Saudi Arabia,Player
Overwatch 2,Bronze,Twisted Minds,Quartz,Saudi Arabia,Player
Overwatch 2,Bronze,Twisted Minds,Youbi,Saudi Arabia,Player
Overwatch 2,Bronze,Twisted Minds,KSAA,Saudi Arabia,Player
Overwatch 2,Bronze,Twisted Minds,FunnyAstro,UK,Player
Overwatch 2,Bronze,Twisted Minds,Simple,Saudi Arabia,Player
PUBG: Battlegrounds,Gold,Twisted Minds,xmpl,Russia,Player
PUBG: Battlegrounds,Gold,Twisted Minds,BatulinS,Russia,Player
PUBG: Battlegrounds,Gold,Twisted Minds,Perfect1ks,Russia,Player
PUBG: Battlegrounds,Gold,Twisted Minds,Lu,Russia,Player
PUBG: Battlegrounds,Silver,Gen.G,Tosi,South Korea,Player
PUBG: Battlegrounds,Silver,Gen.G,F1ame,South Korea,Player
PUBG: Battlegrounds,Silver,Gen.G,Orca,South Korea,Player
PUBG: Battlegrounds,Silver,Gen.G,BeaN,South Korea,Player
PUBG: Battlegrounds,Bronze,Team Falcons,hwinn,USA,Player
PUBG: Battlegrounds,Bronze,Team Falcons,TGLTN,Australia,Player
PUBG: Battlegrounds,Bronze,Team Falcons,Shrimzy,USA,Player
PUBG: Battlegrounds,Bronze,Team Falcons,Kickstart,USA,Player
PUBG Mobile,Gold,Yangon Galacticos,Smile,Myanmar,Player
PUBG Mobile,Gold,Yangon Galacticos,Marnett,Myanmar,Player
PUBG Mobile,Gold,Yangon Galacticos,Romeo,Myanmar,Player
PUBG Mobile,Gold,Yangon Galacticos,SAYCLOUD,Myanmar,Player
PUBG Mobile,Silver,Weibo Gaming,Suk,China,Player
PUBG Mobile,Silver,Weibo Gaming,Order,China,Player
PUBG Mobile,Silver,Weibo Gaming,33z,China,Player
PUBG Mobile,Silver,Weibo Gaming,HECC,China,Player
PUBG Mobile,Bronze,Alpha Gaming,Zyol,Mongolia,Player
PUBG Mobile,Bronze,Alpha Gaming,DOK,Mongolia,Player
PUBG Mobile,Bronze,Alpha Gaming,REFUS,Mongolia,Player
PUBG Mobile,Bronze,Alpha Gaming,TOP,Mongolia,Player
Rainbow Six Siege X,Gold,Team Secret,Savage,Brazil,Player
Rainbow Six Siege X,Gold,Team Secret,jume,Brazil,Player
Rainbow Six Siege X,Gold,Team Secret,Adrian,Brazil,Player
Rainbow Six Siege X,Gold,Team Secret,Mowwwgli,Brazil,Player
Rainbow Six Siege X,Gold,Team Secret,NoaUrz,Brazil,Player
Rainbow Six Siege X,Silver,G2 Esports,Alem4o,Brazil,Player
Rainbow Six Siege X,Silver,G2 Esports,Doki,UK,Player
Rainbow Six Siege X,Silver,G2 Esports,BlaZ,France,Player
Rainbow Six Siege X,Silver,G2 Esports,Loira,Brazil,Player
Rainbow Six Siege X,Silver,G2 Esports,Stompn,Brazil,Player
Rainbow Six Siege X,Bronze,Furia Esports,FelipeX,Brazil,Player
Rainbow Six Siege X,Bronze,Furia Esports,HerdsZ,Brazil,Player
Rainbow Six Siege X,Bronze,Furia Esports,Jv92,Brazil,Player
Rainbow Six Siege X,Bronze,Furia Esports,Kheyze,Brazil,Player
Rainbow Six Siege X,Bronze,Furia Esports,nade,Brazil,Player
Rennsport,Gold,BMW M Team Redline Red Bull Sim Racing,Luke Bennett,UK,Driver
Rennsport,Gold,BMW M Team Redline Red Bull Sim Racing,Jeffery Rietveld,Netherlands,Driver
Rennsport,Gold,BMW M Team Redline Red Bull Sim Racing,Sebastian Job,Germany,Driver
Rennsport,Gold,BMW M Team Redline Red Bull Sim Racing,Kevin Siggy,Austria,Driver
Rennsport,Silver,Virtus.pro,Kevin Ellis Jr,USA,Driver
Rennsport,Silver,Virtus.pro,Dáire McCormack,Ireland,Driver
Rennsport,Silver,Virtus.pro,Vojtěch Fiala,Czech Republic,Driver
Rennsport,Silver,Virtus.pro,Mikhail Statsenko,Russia,Driver
Rennsport,Bronze,Team Vitality,Thibault Cazaubon,France,Driver
Rennsport,Bronze,Team Vitality,Marcell Csincsik,Hungary,Driver
Rennsport,Bronze,Team Vitality,Erhan Jajovski,North Macedonia,Driver
Rennsport,Bronze,Team Vitality,Jiri Toman,Czech Republic,Driver
Rocket League,Gold,Karmine Corp,Vatira,France,Player
Rocket League,Gold,Karmine Corp,Atow,France,Player
Rocket League,Gold,Karmine Corp,dralii,France,Player
Rocket League,Silver,Geekay Esports,Archie,UK,Player
Rocket League,Silver,Geekay Esports,Joyo,USA,Player
Rocket League,Silver,Geekay Esports,oaly,Netherlands,Player
Rocket League,Bronze,Team Falcons,Trk511,Saudi Arabia,Player
Rocket League,Bronze,Team Falcons,Rw9,Saudi Arabia,Player
Rocket League,Bronze,Team Falcons,Kiileerrz,Saudi Arabia,Player
StarCraft II,Gold,Basilisk,Serral,Finland,Player
StarCraft II,Silver,Virtus.pro,Classic,South Korea,Player
StarCraft II,Bronze,Team Liquid,Cure,South Korea,Player
Street Fighter 6,Gold,KuaiShou Gaming,Xiaohai,China,Player
Street Fighter 6,Silver,2Game Esports,Blaz,South Korea,Player
Street Fighter 6,Bronze,DRX,Leshar,South Korea,Player
Teamfight Tactics,Gold,Weibo Gaming,Saopimi,China,Player
Teamfight Tactics,Gold,Weibo Gaming,LBTZ,China,Player
Teamfight Tactics,Gold,Weibo Gaming,Guan,China,Player
Teamfight Tactics,Gold,Weibo Gaming,TianLong,China,Player
Teamfight Tactics,Silver,Virtus.pro,Maris,Russia,Player
Teamfight Tactics,Silver,Virtus.pro,Milo,Russia,Player
Teamfight Tactics,Silver,Virtus.pro,k1an,Russia,Player
Teamfight Tactics,Silver,Virtus.pro,NCC1,Russia,Player
Teamfight Tactics,Bronze,T1,Binteum,South Korea,Player
Teamfight Tactics,Bronze,T1,sCsC,South Korea,Player
Teamfight Tactics,Bronze,T1,dunizuni,South Korea,Player
Teamfight Tactics,Bronze,T1,CrazyMoving,South Korea,Player
Teamfight Tactics,Bronze,AEGIS,Opale,France,Player
Teamfight Tactics,Bronze,AEGIS,Pas de Bol,France,Player
Teamfight Tactics,Bronze,AEGIS,Lyyyress,France,Player
Teamfight Tactics,Bronze,AEGIS,Gobosteur,France,Player
Tekken 8,Gold,DN Freecs,ULSAN,South Korea,Player
Tekken 8,Silver,DRX,LOWHIGH,South Korea,Player
Tekken 8,Bronze,DN Freecs,CBM,South Korea,Player
